Metric,Dec 2013,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,27,27,27,27,27,27,27,27,27,27,27,27,27,Cr,Screener
Reserves,794,"1,207","2,309","3,895","5,345","7,099","8,248","9,678","10,767","12,860","15,666","18,472","19,188",Cr,Screener
Borrowings +,4,0,23,67,86,76,101,60,53,140,210,267,274,Cr,Screener
Other Liabilities +,658,995,"1,265","1,550","2,336","2,275","2,203","2,860","3,375","3,848","4,569","5,319","6,327",Cr,Screener
Total Liabilities,"1,483","2,229","3,624","5,540","7,795","9,477","10,579","12,625","14,223","16,876","20,473","24,086","25,817",Cr,Screener
Fixed Assets +,299,501,788,870,"1,497","1,871","2,369","2,423","2,401","2,600","2,774","3,335","3,912",Cr,Screener
CWIP,14,59,94,374,333,450,312,310,504,468,553,477,123,Cr,Screener
Investments,856,"1,189","2,074","3,542","3,866","3,047","3,926","2,045","5,950","10,280","11,307","12,027","13,687",Cr,Screener
Other Assets +,314,480,667,755,"2,098","4,110","3,973","7,847","5,368","3,527","5,838","8,248","8,095",Cr,Screener
Total Assets,"1,483","2,229","3,624","5,540","7,795","9,477","10,579","12,625","14,223","16,876","20,473","24,086","25,817",Cr,Screener