Metric,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Unit,Source
Equity Capital,140,281,282,285,278,271,543,543,543,543,543,543,543,Cr,Screener
Reserves,"15,613","19,125","21,214","25,688","27,285","30,168","37,003","43,010","42,048","40,561","38,927","34,397","30,632",Cr,Screener
Borrowings +,569,41,42,45,48,50,"1,018",943,880,799,914,"1,041",982,Cr,Screener
Other Liabilities +,"5,493","5,469","5,050","6,353","5,207","6,967","15,274","10,865","9,952","11,457","11,923","16,522","14,411",Cr,Screener
Total Liabilities,"21,814","24,915","26,588","32,371","32,818","37,456","53,838","55,361","53,423","53,360","52,307","52,503","46,568",Cr,Screener
Fixed Assets +,"2,449","3,064","2,816","7,989","10,428","11,235","22,643","20,905","19,524","17,935","16,333","16,218","15,561",Cr,Screener
CWIP,518,544,582,411,298,212,311,245,79,21,22,29,53,Cr,Screener
Investments,"4,116","4,125","3,974","4,724","6,198","5,810","11,039","11,646","11,096","10,159","11,841","12,317","10,795",Cr,Screener
Other Assets +,"14,731","17,182","19,215","19,247","15,894","20,199","19,845","22,565","22,724","25,245","24,111","23,939","20,159",Cr,Screener
Total Assets,"21,814","24,915","26,588","32,371","32,818","37,456","53,838","55,361","53,423","53,360","52,307","52,503","46,568",Cr,Screener