Metric,Value,Unit,Source
Compounded Sales Growth (10 Years),20,%,Screener
Compounded Sales Growth (5 Years),21,%,Screener
Compounded Sales Growth (3 Years),33,%,Screener
Compounded Sales Growth (TTM),5,%,Screener
Compounded Profit Growth (10 Years),21,%,Screener
Compounded Profit Growth (5 Years),21,%,Screener
Compounded Profit Growth (3 Years),22,%,Screener
Compounded Profit Growth (TTM),10,%,Screener
Stock Price CAGR (10 Years),13,%,Screener
Stock Price CAGR (5 Years),3,%,Screener
Stock Price CAGR (3 Years),4,%,Screener
Stock Price CAGR (1 Year),2,%,Screener
Return on Equity (10 Years),16,%,Screener
Return on Equity (5 Years),16,%,Screener
Return on Equity (3 Years),16,%,Screener
Return on Equity (Last Year),14,%,Screener